2018-12-10 22:52:08,433 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5121b378: startup date [Mon Dec 10 22:52:08 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-12-10 22:52:09,254 | INFO  | PListStore:[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-12-10 22:52:09,279 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-10 22:52:09,451 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-51989-1544453529328-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-10 22:52:09,466 | INFO  | Listening for connections at: tcp://LAPTOP-QHB4PNJK:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-10 22:52:09,466 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-10 22:52:09,470 | INFO  | Listening for connections at: amqp://LAPTOP-QHB4PNJK:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-10 22:52:09,470 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-10 22:52:09,474 | INFO  | Listening for connections at: stomp://LAPTOP-QHB4PNJK:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-10 22:52:09,475 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-10 22:52:09,478 | INFO  | Listening for connections at: mqtt://LAPTOP-QHB4PNJK:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-10 22:52:09,478 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-10 22:52:09,585 | INFO  | Listening for connections at ws://LAPTOP-QHB4PNJK:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2018-12-10 22:52:09,588 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-10 22:52:09,589 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-51989-1544453529328-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-10 22:52:09,589 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-10 22:52:10,078 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2018-12-10 22:52:10,169 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2018-12-10 22:52:10,479 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2018-12-11 21:06:36,597 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@76b65e6a: startup date [Tue Dec 11 21:06:36 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-12-11 21:06:37,425 | INFO  | PListStore:[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-12-11 21:06:37,441 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Google Drive\Acer 桌面\桌面\課堂作業\網程設\HW4\apache-activemq-5.9.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-11 21:06:37,660 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-11 21:06:37,660 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-11 21:06:37,769 | INFO  | Recovery replayed 2929 operations from the journal in 0.109 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-12-11 21:06:37,909 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:LAPTOP-QHB4PNJK-50154-1544533597784-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Listening for connections at: tcp://LAPTOP-QHB4PNJK:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Listening for connections at: amqp://LAPTOP-QHB4PNJK:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Listening for connections at: stomp://LAPTOP-QHB4PNJK:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Listening for connections at: mqtt://LAPTOP-QHB4PNJK:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-12-11 21:06:37,941 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
